q,0.46143,5.0,10.0
w,0.64662,180.0,117.0
e,0.07938,1095.0,761.0
r,0.16389,686.0,434.0
t,0.39884,771.0,611.0
y,0.02936,187.0,131.0
u,0.73452,255.0,162.0
i,0.70476,830.0,589.0
o,0.34637,591.0,480.0
p,0.90633,228.0,174.0
a,0.09010,736.0,558.0
s,0.56935,732.0,501.0
d,0.62549,329.0,247.0
f,0.23844,215.0,161.0
g,0.81094,171.0,124.0
h,0.29269,352.0,242.0
j,0.48311,7.0,14.0
k,0.55165,40.0,35.0
l,0.98019,374.0,279.0
shift,0.13594,350.0,214.0
z,0.00295,35.0,29.0
x,0.43333,21.0,24.0
c,0.11243,319.0,222.0
v,0.16411,124.0,76.0
b,0.20848,149.0,96.0
n,0.13037,663.0,460.0
m,0.25999,227.0,202.0
delete,0.80599,862.0,663.0
comma,0.98105,89.0,62.0
space,0.01051,1651.0,1225.0
dot,0.34635,105.0,52.0
q,w,e,r,t,y,u,i,o,p,0.06880,4828.0,3469.0
a,s,d,f,g,h,j,k,l,0.01993,2956.0,2161.0
z,x,c,v,b,n,m,0.11201,1538.0,1109.0
q,w,e,r,t,a,s,d,f,g,z,x,c,v,0.00928,5419.0,3875.0
y,u,i,o,p,h,j,k,l,b,n,m,0.13953,3903.0,2864.0
q,w,e,r,t,a,s,d,f,z,x,c,0.01018,5124.0,3675.0
y,u,i,o,p,g,h,j,k,l,v,b,n,m,0.13057,4198.0,3064.0
q,w,e,r,t,0.07290,2737.0,1933.0
a,s,d,f,g,0.03392,2183.0,1591.0
z,x,c,v,0.01763,499.0,351.0
y,u,i,o,p,0.20981,2091.0,1536.0
h,j,k,l,0.25226,773.0,570.0
b,n,m,0.16855,1039.0,758.0
a,s,d,f,0.02642,2012.0,1467.0
g,h,j,k,l,0.31907,944.0,694.0
z,x,c,0.05968,375.0,275.0
v,b,n,m,0.15244,1163.0,834.0
