q,0.69331,5.0,10.0
w,0.12049,180.0,117.0
e,0.17685,1095.0,761.0
r,0.39334,686.0,434.0
t,0.37658,771.0,611.0
y,0.48544,187.0,131.0
u,0.56129,255.0,162.0
i,0.53766,830.0,589.0
o,0.42935,591.0,480.0
p,0.50069,228.0,174.0
a,0.18704,736.0,558.0
s,0.43607,732.0,501.0
d,0.35807,329.0,247.0
f,0.74643,215.0,161.0
g,0.72284,171.0,124.0
h,0.69301,352.0,242.0
j,0.21923,7.0,14.0
k,0.42780,40.0,35.0
l,0.62649,374.0,279.0
shift,0.66484,350.0,214.0
z,0.76835,35.0,29.0
x,0.59131,21.0,24.0
c,0.49167,319.0,222.0
v,0.70835,124.0,76.0
b,0.43865,149.0,96.0
n,0.20358,663.0,460.0
m,0.79271,227.0,202.0
delete,0.27426,862.0,663.0
comma,0.30913,89.0,62.0
space,0.71762,1651.0,1225.0
dot,0.52553,105.0,52.0
q,w,e,r,t,y,u,i,o,p,0.66010,4828.0,3469.0
a,s,d,f,g,h,j,k,l,0.48543,2956.0,2161.0
z,x,c,v,b,n,m,0.42973,1538.0,1109.0
q,w,e,r,t,a,s,d,f,g,z,x,c,v,0.24031,5419.0,3875.0
y,u,i,o,p,h,j,k,l,b,n,m,0.84244,3903.0,2864.0
q,w,e,r,t,a,s,d,f,z,x,c,0.20308,5124.0,3675.0
y,u,i,o,p,g,h,j,k,l,v,b,n,m,0.85883,4198.0,3064.0
q,w,e,r,t,0.20635,2737.0,1933.0
a,s,d,f,g,0.31937,2183.0,1591.0
z,x,c,v,0.53407,499.0,351.0
y,u,i,o,p,0.52516,2091.0,1536.0
h,j,k,l,0.69258,773.0,570.0
b,n,m,0.46247,1039.0,758.0
a,s,d,f,0.26530,2012.0,1467.0
g,h,j,k,l,0.68006,944.0,694.0
z,x,c,0.50914,375.0,275.0
v,b,n,m,0.47594,1163.0,834.0
