q,0.45483,5.0,10.0
w,0.08359,180.0,117.0
e,0.01227,1095.0,761.0
r,0.03631,686.0,434.0
t,0.17795,771.0,611.0
y,0.04571,187.0,131.0
u,0.06826,255.0,162.0
i,0.02102,830.0,589.0
o,0.00663,591.0,480.0
p,0.02043,228.0,174.0
a,0.02232,736.0,558.0
s,0.04040,732.0,501.0
d,0.16870,329.0,247.0
f,0.02596,215.0,161.0
g,0.03044,171.0,124.0
h,0.00889,352.0,242.0
j,0.10958,7.0,14.0
k,0.86801,40.0,35.0
l,0.00065,374.0,279.0
shift,0.01727,350.0,214.0
z,0.74975,35.0,29.0
x,0.29657,21.0,24.0
c,0.00677,319.0,222.0
v,0.07275,124.0,76.0
b,0.07565,149.0,96.0
n,0.01220,663.0,460.0
m,0.12231,227.0,202.0
delete,0.00629,862.0,663.0
comma,0.00932,89.0,62.0
space,0.00035,1651.0,1225.0
dot,0.02332,105.0,52.0
q,w,e,r,t,y,u,i,o,p,0.01952,4828.0,3469.0
a,s,d,f,g,h,j,k,l,0.01979,2956.0,2161.0
z,x,c,v,b,n,m,0.00763,1538.0,1109.0
q,w,e,r,t,a,s,d,f,g,z,x,c,v,0.01815,5419.0,3875.0
y,u,i,o,p,h,j,k,l,b,n,m,0.00764,3903.0,2864.0
q,w,e,r,t,a,s,d,f,z,x,c,0.02439,5124.0,3675.0
y,u,i,o,p,g,h,j,k,l,v,b,n,m,0.00917,4198.0,3064.0
q,w,e,r,t,0.02373,2737.0,1933.0
a,s,d,f,g,0.02399,2183.0,1591.0
z,x,c,v,0.01109,499.0,351.0
y,u,i,o,p,0.01898,2091.0,1536.0
h,j,k,l,0.00597,773.0,570.0
b,n,m,0.00685,1039.0,758.0
a,s,d,f,0.03683,2012.0,1467.0
g,h,j,k,l,0.00880,944.0,694.0
z,x,c,0.00739,375.0,275.0
v,b,n,m,0.01199,1163.0,834.0
