q,0.50000,5.0,10.0
w,0.27197,180.0,117.0
e,0.00388,1095.0,761.0
r,0.04560,686.0,434.0
t,0.30121,771.0,611.0
y,0.01450,187.0,131.0
u,0.08764,255.0,162.0
i,0.04228,830.0,589.0
o,0.05159,591.0,480.0
p,0.03699,228.0,174.0
a,0.00937,736.0,558.0
s,0.00784,732.0,501.0
d,0.05111,329.0,247.0
f,0.04176,215.0,161.0
g,0.01742,171.0,124.0
h,0.03209,352.0,242.0
j,0.15595,7.0,14.0
k,0.24603,40.0,35.0
l,0.01272,374.0,279.0
shift,0.01949,350.0,214.0
z,0.84570,35.0,29.0
x,0.35562,21.0,24.0
c,0.01112,319.0,222.0
v,0.02446,124.0,76.0
b,0.02524,149.0,96.0
n,0.01123,663.0,460.0
m,0.01520,227.0,202.0
delete,0.13188,862.0,663.0
comma,0.02438,89.0,62.0
space,0.00170,1651.0,1225.0
dot,0.00713,105.0,52.0
q,w,e,r,t,y,u,i,o,p,0.03989,4828.0,3469.0
a,s,d,f,g,h,j,k,l,0.00826,2956.0,2161.0
z,x,c,v,b,n,m,0.00937,1538.0,1109.0
q,w,e,r,t,a,s,d,f,g,z,x,c,v,0.00787,5419.0,3875.0
y,u,i,o,p,h,j,k,l,b,n,m,0.02232,3903.0,2864.0
q,w,e,r,t,a,s,d,f,z,x,c,0.01131,5124.0,3675.0
y,u,i,o,p,g,h,j,k,l,v,b,n,m,0.02358,4198.0,3064.0
q,w,e,r,t,0.03934,2737.0,1933.0
a,s,d,f,g,0.00551,2183.0,1591.0
z,x,c,v,0.02554,499.0,351.0
y,u,i,o,p,0.04221,2091.0,1536.0
h,j,k,l,0.02685,773.0,570.0
b,n,m,0.00557,1039.0,758.0
a,s,d,f,0.00835,2012.0,1467.0
g,h,j,k,l,0.03145,944.0,694.0
z,x,c,0.04591,375.0,275.0
v,b,n,m,0.00833,1163.0,834.0
