(352136060443906,20141028041441921)
(352136063083162,20141028041216400)
(352136063159269,20141028041156700)
(352136063161943,20140920030955436)
(352136063167064,20141028041247241)
(353490061572406,20140920100619985)
(356843052732305,20141028041312942)
(358240050552579,20140920030817996)
(358240050552686,2014092003375878)
(358240051667814,20141028041613464)
(358240052286374,20140920030705731)
(358240052286630,20140920031021207)


(352136063161943,20140920030955436)
(353490061572406,20140920100619985)
(358240050552579,20140920030817996)
(358240050552686,2014092003375878)
(358240052286374,20140920030705731)
(358240052286630,20140920031021207)
